instance,alpha,num_iterations,score,time
dat/project.2.dat,1,3,7.55,0.0569056
dat/project.2.dat,1,4,7.55,0.0732959
dat/project.2.dat,1,5,7.55,0.0896652
dat/project.2.dat,1,6,7.55,0.106114
dat/project.2.dat,1,7,7.55,0.127909
dat/project.2.dat,1,8,7.55,0.147147
dat/project.2.dat,1,9,7.55,0.163553
dat/project.2.dat,1,10,7.55,0.179826
dat/project.3.dat,0,1,7,0.0166415
dat/project.3.dat,0,2,7,0.041273
dat/project.3.dat,0,3,7,0.0583055
dat/project.3.dat,0,4,7,0.0744296
dat/project.3.dat,0,5,7,0.0906902
dat/project.3.dat,0,6,7,0.107107
dat/project.3.dat,0,7,7,0.123824
dat/project.3.dat,0,8,7,0.148322
dat/project.3.dat,0,9,7,0.164708
dat/project.3.dat,0,10,7,0.181143
dat/project.3.dat,0.2,1,7,0.0164393
dat/project.3.dat,0.2,2,7,0.0329467
dat/project.3.dat,0.2,3,7,0.0579401
dat/project.3.dat,0.2,4,7,0.0747895
dat/project.3.dat,0.2,5,7,0.0912269
dat/project.3.dat,0.2,6,7,0.107223
dat/project.3.dat,0.2,7,7,0.13119
dat/project.3.dat,0.2,8,7,0.147463
dat/project.3.dat,0.2,9,7,0.167579
dat/project.3.dat,0.2,10,7,0.17993
dat/project.3.dat,0.4,1,7,0.0244916
dat/project.3.dat,0.4,2,7,0.042801
dat/project.3.dat,0.4,3,7,0.0595863
dat/project.3.dat,0.4,4,7,0.0762066
dat/project.3.dat,0.4,5,7,0.0974445
dat/project.3.dat,0.4,6,7,0.116779
dat/project.3.dat,0.4,7,7,0.130289
dat/project.3.dat,0.4,8,7,0.15505
dat/project.3.dat,0.4,9,7,0.173846
dat/project.3.dat,0.4,10,7,0.188387
dat/project.3.dat,0.6,1,7,0.0209193
dat/project.3.dat,0.6,2,7,0.0402955
dat/project.3.dat,0.6,3,7,0.0569854
dat/project.3.dat,0.6,4,7,0.0734852
dat/project.3.dat,0.6,5,7,0.0898589
dat/project.3.dat,0.6,6,7,0.106514
dat/project.3.dat,0.6,7,7,0.16327
dat/project.3.dat,0.6,8,7,0.179403
dat/project.3.dat,0.6,9,7,0.198975
dat/project.3.dat,0.6,10,7,0.212195
dat/project.3.dat,0.8,1,7,0.0247251
dat/project.3.dat,0.8,2,7,0.0419856
dat/project.3.dat,0.8,3,7,0.0573737
dat/project.3.dat,0.8,4,7,0.0752657
dat/project.3.dat,0.8,5,7,0.0919414
dat/project.3.dat,0.8,6,7,0.115815
dat/project.3.dat,0.8,7,7,0.131983
