instance,alpha,num_iterations,score,time
050,0.4,1,22.02,0.0554236
050,0.4,2,23.3,0.118487
050,0.4,3,23.3,0.2022
050,0.4,4,23.3,0.254776
050,0.4,5,23.3,0.304285
050,0.4,6,23.3,0.352686
050,0.4,7,23.3,0.399909
050,0.4,8,23.3,0.466516
050,0.4,9,23.3,0.55146
050,0.4,10,23.3,0.632237
050,0.6,1,22.58,0.0507881
050,0.6,2,22.58,0.120928
050,0.6,3,22.58,0.200814
050,0.6,4,23.3,0.249944
050,0.6,5,23.3,0.349875
050,0.6,6,23.3,0.406256
050,0.6,7,23.3,0.482929
050,0.6,8,23.3,0.537173
050,0.6,9,23.3,0.58925
050,0.6,10,23.3,0.656489
050,0.8,1,22.58,0.0764788
050,0.8,2,23.3,0.134922
050,0.8,3,23.3,0.193415
050,0.8,4,23.3,0.249359
050,0.8,5,23.3,0.310185
050,0.8,6,23.3,0.365528
050,0.8,7,23.3,0.42986
050,0.8,8,23.3,0.494288
050,0.8,9,23.3,0.549724
050,0.8,10,23.3,0.593117
050,1,1,22.41,0.0495277
050,1,2,23.3,0.100876
050,1,3,23.3,0.166125
050,1,4,23.3,0.222452
050,1,5,23.3,0.299974
050,1,6,23.3,0.372531
050,1,7,23.3,0.434138
050,1,8,23.3,0.471454
050,1,9,23.3,0.5176
050,1,10,23.3,0.617156
060,0,1,36.35,0.122056
060,0.2,1,36.35,0.116297
060,0.2,2,36.35,0.230005
060,0.2,3,36.35,0.3336
060,0.2,4,36.35,0.479344
060,0.2,5,36.35,0.598671
060,0.2,6,36.35,0.713186
060,0.2,7,36.35,0.857378
060,0.2,8,36.35,0.965964
060,0.2,9,36.35,1.0642
060,0.2,10,36.35,1.24519
060,0.4,1,35.94,0.0849877
060,0.4,2,36.35,0.206947
060,0.4,3,36.35,0.284687
060,0.4,4,36.35,0.412572
060,0.4,5,36.35,0.565999
060,0.4,6,36.35,0.667526
060,0.4,7,36.35,0.792428
060,0.4,8,36.35,0.92276
060,0.4,9,36.35,1.04445
